index,player,total_goals_against,penalty_goals_against,penalty_saves,non_penalty_goals_against,penalty_onTarget_attempts,penalty_saves_percentage%,shot_onTarget_saved,save%,save_both_hands,save_chest,save_head,save_left_foot,save_left_hand,right_foot,save_right_hand,team,MP,competition
0,Alberto García Cabrera,13,1,2,12,3,66.66666666666666,25,67.56756756756756,21,0,0,1,0,2,1,Sporting Gijón,6,Spain - La Liga
1,Alphonse Areola,25,1,1,24,2,50.0,82,77.35849056603774,57,1,0,6,3,4,11,Villarreal,32,Spain - La Liga
2,Andrés Eduardo Fernández Moreno,64,4,0,60,4,0.0,100,62.5,64,1,1,6,7,6,15,Granada,37,Spain - La Liga
3,Antonio Adán Garrido,49,0,0,49,0,0.0,125,71.83908045977012,81,4,1,8,8,8,15,Real Betis,36,Spain - La Liga
4,Antonio Rodríguez Martínez,12,2,1,10,3,33.33333333333333,24,70.58823529411765,17,0,0,0,1,3,3,Rayo Vallecano,10,Spain - La Liga
5,António Alberto Bastos Pimparel,8,1,0,7,1,0.0,13,65.0,11,0,0,0,1,1,0,Sevilla,4,Spain - La Liga
6,Asier Riesgo Unamuno,53,3,1,50,4,25.0,79,61.240310077519375,54,0,1,6,5,3,10,Eibar,34,Spain - La Liga
7,Claudio Andrés Bravo Muñoz,20,1,0,19,1,0.0,83,81.37254901960785,66,3,1,2,6,2,3,Barcelona,32,Spain - La Liga
8,Cristiano Biraghi,1,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,Granada,32,Spain - La Liga
9,Daniel Giménez Hernández,2,0,0,2,0,0.0,5,71.42857142857143,4,0,0,0,0,1,0,Real Betis,3,Spain - La Liga
10,Diego Alves Carreira,20,1,0,19,1,0.0,45,70.3125,27,1,1,1,4,3,8,Valencia,13,Spain - La Liga
11,Diego Mariño Villar,40,3,0,37,3,0.0,77,67.54385964912281,46,3,2,3,7,6,10,Levante UD,23,Spain - La Liga
12,Francisco Casilla Cortés,6,0,0,6,0,0.0,13,68.42105263157895,10,0,0,1,1,0,1,Real Madrid,4,Spain - La Liga
13,Francisco Guillermo Ochoa Magaña,10,0,0,10,0,0.0,29,74.35897435897436,21,1,0,0,5,1,1,Málaga,11,Spain - La Liga
